epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.1407,0.94924,2.2252,1.28601,0.60897,0.65741,0.63302,0.38006,1.04093,7.04516,1.32296,0.000660606,0.000660606,0.000660606
2,181.411,1.11974,1.98739,1.41167,0.64102,0.59259,0.62979,0.39072,1.15229,14.2368,1.41775,0.00119587,0.00119587,0.00119587
3,281.442,1.17047,1.77545,1.43834,0.7301,0.70131,0.75072,0.48821,1.05077,4.8438,1.30103,0.00159914,0.00159914,0.00159914
4,380.777,1.12501,1.56234,1.37251,0.76148,0.72423,0.81401,0.5746,0.94653,2.57746,1.19681,0.001406,0.001406,0.001406
5,470.567,1.06869,1.42582,1.34535,0.70232,0.71759,0.73864,0.48466,1.00311,7.27771,1.24373,0.001208,0.001208,0.001208
6,559.255,0.99243,1.26171,1.2744,0.71914,0.81793,0.83077,0.58048,0.92118,4.15875,1.18963,0.00101,0.00101,0.00101
7,649.777,0.93949,1.12532,1.24719,0.81448,0.80556,0.85557,0.62239,0.85414,2.09759,1.15405,0.000812,0.000812,0.000812
8,741.06,0.87322,1.07013,1.21103,0.87011,0.77531,0.89077,0.6689,0.78598,2.28292,1.08133,0.000614,0.000614,0.000614
9,831.125,0.82597,0.99389,1.16319,0.82032,0.84259,0.90111,0.68977,0.75697,1.95227,1.07026,0.000416,0.000416,0.000416
10,919.442,0.78071,0.90598,1.14745,0.88118,0.83796,0.9049,0.6944,0.74129,1.79435,1.06343,0.000218,0.000218,0.000218
